date,state,deaths_pneumonia_2019,deaths_pneumonia_2020,deaths_covid19,deaths_respiratory_failure_2019,deaths_respiratory_failure_2020,epidemiological_week_2020,new_deaths_pneumonia_2020,new_deaths_covid19,new_deaths_respiratory_failure_2020
2020-05-04,AC,295,253,12,151,120,19,0,0,0
2020-05-04,AL,771,660,43,755,645,19,0,0,0
2020-05-04,AM,583,1097,385,288,787,19,0,0,0
2020-05-04,AP,156,74,2,114,78,19,0,0,0
2020-05-04,BA,1881,1588,46,2760,2216,19,0,0,0
2020-05-04,CE,2547,2313,524,1783,1777,19,0,0,0
2020-05-04,DF,975,1017,58,548,615,19,0,0,0
2020-05-04,ES,1537,1405,81,826,786,19,0,0,0
2020-05-04,GO,2015,1909,78,1606,1617,19,0,0,0
2020-05-04,MA,711,670,163,718,764,19,0,0,0
2020-05-04,MG,6341,5779,143,5410,4822,19,0,0,0
2020-05-04,MS,1016,935,5,696,682,19,0,0,0
2020-05-04,MT,279,267,7,290,199,19,0,0,0
2020-05-04,PA,669,564,44,665,666,19,0,0,0
2020-05-04,PB,1460,1209,32,1331,1100,19,0,0,0
2020-05-04,PE,2523,2458,325,2476,2393,19,0,0,0
2020-05-04,PI,776,484,5,1043,589,19,0,0,0
2020-05-04,PR,3321,3360,134,2344,2190,19,0,0,0
2020-05-04,RJ,7238,8216,1980,4541,5467,19,0,0,0
2020-05-04,RN,1065,842,19,573,517,19,0,0,0
2020-05-04,RO,341,362,22,328,283,19,0,0,0
2020-05-04,RR,111,117,2,58,68,19,0,0,0
2020-05-04,RS,4079,3923,59,3465,3346,19,0,0,0
2020-05-04,SC,2071,1839,49,1689,1418,19,0,0,0
2020-05-04,SE,527,539,6,502,442,19,0,0,0
2020-05-04,SP,22011,20544,2703,14578,15056,19,0,0,0
2020-05-04,TO,191,252,2,173,211,19,0,0,0
2020-05-03,AC,295,253,12,151,120,19,0,0,0
2020-05-03,AL,771,660,43,755,645,19,1,0,0
2020-05-03,AM,583,1097,385,288,787,19,1,0,0
2020-05-03,AP,156,74,2,114,78,19,0,0,0
2020-05-03,BA,1881,1588,46,2760,2216,19,0,0,0
2020-05-03,CE,2547,2313,524,1783,1777,19,1,1,0
2020-05-03,DF,975,1017,58,548,615,19,1,0,0
2020-05-03,ES,1537,1405,81,826,786,19,0,0,0
2020-05-03,GO,2015,1909,78,1606,1617,19,2,0,3
2020-05-03,MA,711,670,163,718,764,19,4,3,1
2020-05-03,MG,6341,5779,143,5410,4822,19,0,0,0
2020-05-03,MS,1016,935,5,696,682,19,0,0,0
2020-05-03,MT,279,267,7,290,199,19,0,0,0
2020-05-03,PA,669,564,44,665,666,19,0,0,0
2020-05-03,PB,1460,1209,32,1331,1100,19,0,0,0
2020-05-03,PE,2523,2458,325,2476,2393,19,0,0,0
2020-05-03,PI,776,484,5,1043,589,19,0,0,0
2020-05-03,PR,3321,3360,134,2344,2190,19,0,0,1
2020-05-03,RJ,7238,8216,1980,4541,5467,19,2,0,1
2020-05-03,RN,1065,842,19,573,517,19,0,0,0
2020-05-03,RO,341,362,22,328,283,19,0,0,0
2020-05-03,RR,111,117,2,58,68,19,0,0,0
2020-05-03,RS,4079,3923,59,3465,3346,19,0,0,0
2020-05-03,SC,2071,1839,49,1689,1418,19,0,0,0
2020-05-03,SE,527,539,6,502,442,19,0,0,0
2020-05-03,SP,22011,20544,2703,14578,15056,19,0,0,0
2020-05-03,TO,191,252,2,173,211,19,0,0,0
2020-05-02,AC,295,253,12,151,120,18,0,0,0
2020-05-02,AL,771,659,43,755,645,18,0,0,1
2020-05-02,AM,583,1096,385,288,787,18,10,13,13
2020-05-02,AP,156,74,2,114,78,18,0,0,0
2020-05-02,BA,1881,1588,46,2760,2216,18,0,1,1
2020-05-02,CE,2547,2312,523,1783,1777,18,3,2,3
2020-05-02,DF,975,1016,58,548,615,18,0,0,0
2020-05-02,ES,1537,1405,81,826,786,18,1,0,2
2020-05-02,GO,2015,1907,78,1606,1614,18,8,0,4
2020-05-02,MA,711,666,160,718,763,18,1,3,2
2020-05-02,MG,6341,5779,143,5410,4822,18,0,0,0
2020-05-02,MS,1016,935,5,696,682,18,0,0,0
2020-05-02,MT,279,267,7,290,199,18,0,0,0
2020-05-02,PA,669,564,44,665,666,18,0,0,0
2020-05-02,PB,1460,1209,32,1331,1100,18,0,0,0
2020-05-02,PE,2523,2458,325,2476,2393,18,0,2,2
2020-05-02,PI,776,484,5,1043,589,18,0,0,0
2020-05-02,PR,3321,3360,134,2344,2189,18,1,0,3
2020-05-02,RJ,7238,8214,1980,4541,5466,18,20,10,10
2020-05-02,RN,1065,842,19,573,517,18,0,0,0
2020-05-02,RO,341,362,22,328,283,18,0,0,0
2020-05-02,RR,111,117,2,58,68,18,0,0,0
2020-05-02,RS,4079,3923,59,3465,3346,18,8,0,11
2020-05-02,SC,2071,1839,49,1689,1418,18,0,0,0
2020-05-02,SE,527,539,6,502,442,18,0,0,0
2020-05-02,SP,22011,20544,2703,14578,15056,18,2,0,1
2020-05-02,TO,191,252,2,173,211,18,0,0,0
2020-05-01,AC,295,253,12,151,120,18,0,0,0
2020-05-01,AL,771,659,43,755,644,18,9,7,8
2020-05-01,AM,583,1086,372,288,774,18,11,12,12
2020-05-01,AP,156,74,2,114,78,18,0,0,0
2020-05-01,BA,1881,1588,45,2760,2215,18,0,0,1
2020-05-01,CE,2547,2309,521,1783,1774,18,0,7,2
2020-05-01,DF,975,1016,58,548,615,18,0,0,3
2020-05-01,ES,1537,1404,81,826,784,18,3,1,3
2020-05-01,GO,2015,1899,78,1606,1610,18,5,2,2
2020-05-01,MA,711,665,157,718,761,18,5,6,4
2020-05-01,MG,6341,5779,143,5410,4822,18,0,0,0
2020-05-01,MS,1016,935,5,696,682,18,0,0,0
2020-05-01,MT,279,267,7,290,199,18,0,0,0
2020-05-01,PA,669,564,44,665,666,18,0,0,0
2020-05-01,PB,1460,1209,32,1331,1100,18,0,0,0
2020-05-01,PE,2523,2458,323,2476,2391,18,2,4,3
2020-05-01,PI,776,484,5,1043,589,18,0,0,0
2020-05-01,PR,3321,3359,134,2344,2186,18,3,0,1
2020-05-01,RJ,7238,8194,1970,4541,5456,18,22,11,23
2020-05-01,RN,1065,842,19,573,517,18,0,0,0
2020-05-01,RO,341,362,22,328,283,18,0,0,0
2020-05-01,RR,111,117,2,58,68,18,0,0,0
2020-05-01,RS,4079,3915,59,3465,3335,18,6,1,7
2020-05-01,SC,2071,1839,49,1689,1418,18,0,0,1
2020-05-01,SE,527,539,6,502,442,18,0,0,0
2020-05-01,SP,22011,20542,2703,14578,15055,18,1,0,0
2020-05-01,TO,191,252,2,173,211,18,0,0,0
2020-04-30,AC,291,253,12,148,120,18,0,1,2
2020-04-30,AL,768,650,36,751,636,18,4,4,9
2020-04-30,AM,575,1075,360,287,762,18,18,10,19
2020-04-30,AP,156,74,2,114,78,18,0,0,0
2020-04-30,BA,1854,1588,45,2736,2214,18,0,0,1
2020-04-30,CE,2517,2309,514,1763,1772,18,4,16,9
2020-04-30,DF,963,1016,58,538,612,18,4,3,1
2020-04-30,ES,1522,1401,80,816,781,18,4,1,1
2020-04-30,GO,1990,1894,76,1592,1608,18,3,1,6
2020-04-30,MA,707,660,151,712,757,18,6,9,7
2020-04-30,MG,6285,5779,143,5374,4822,18,0,0,0
2020-04-30,MS,1008,935,5,690,682,18,0,0,0
2020-04-30,MT,278,267,7,290,199,18,0,0,0
2020-04-30,PA,667,564,44,661,666,18,1,1,3
2020-04-30,PB,1448,1209,32,1309,1100,18,0,0,2
2020-04-30,PE,2501,2456,319,2456,2388,18,9,11,12
2020-04-30,PI,766,484,5,1037,589,18,0,0,0
2020-04-30,PR,3295,3356,134,2324,2185,18,2,0,2
2020-04-30,RJ,7160,8172,1959,4504,5433,18,50,41,37
2020-04-30,RN,1051,842,19,571,517,18,0,0,0
2020-04-30,RO,336,362,22,320,283,18,1,0,0
2020-04-30,RR,110,117,2,57,68,18,0,0,0
2020-04-30,RS,4039,3909,58,3433,3328,18,15,2,7
2020-04-30,SC,2051,1839,49,1679,1417,18,1,0,1
2020-04-30,SE,527,539,6,501,442,18,0,0,0
2020-04-30,SP,21793,20541,2703,14452,15055,18,8,7,9
2020-04-30,TO,187,252,2,169,211,18,0,0,1
2020-04-29,AC,287,253,11,145,118,18,1,1,0
2020-04-29,AL,761,646,32,743,627,18,5,4,2
2020-04-29,AM,569,1057,350,283,743,18,20,12,15
2020-04-29,AP,153,74,2,113,78,18,0,0,0
2020-04-29,BA,1839,1588,45,2719,2213,18,4,0,3
2020-04-29,CE,2492,2305,498,1738,1763,18,9,17,10
2020-04-29,DF,956,1012,55,534,611,18,4,3,2
2020-04-29,ES,1507,1397,79,809,780,18,5,4,2
2020-04-29,GO,1980,1891,75,1584,1602,18,12,2,6
2020-04-29,MA,699,654,142,706,750,18,7,6,6
2020-04-29,MG,6233,5779,143,5328,4822,18,0,0,0
2020-04-29,MS,996,935,5,681,682,18,2,0,0
2020-04-29,MT,276,267,7,290,199,18,0,0,0
2020-04-29,PA,662,563,43,655,663,18,1,2,2
2020-04-29,PB,1431,1209,32,1292,1098,18,3,0,6
2020-04-29,PE,2482,2447,308,2428,2376,18,9,21,10
2020-04-29,PI,756,484,5,1030,589,18,0,0,1
2020-04-29,PR,3259,3354,134,2303,2183,18,7,2,9
2020-04-29,RJ,7081,8122,1918,4455,5396,18,60,79,50
2020-04-29,RN,1040,842,19,565,517,18,0,0,0
2020-04-29,RO,334,361,22,319,283,18,3,4,1
2020-04-29,RR,109,117,2,57,68,18,0,0,0
2020-04-29,RS,4003,3894,56,3404,3321,18,15,0,15
2020-04-29,SC,2030,1838,49,1657,1416,18,3,1,4
2020-04-29,SE,522,539,6,496,442,18,0,0,0
2020-04-29,SP,21602,20533,2696,14325,15046,18,26,18,32
2020-04-29,TO,185,252,2,167,210,18,2,0,1
2020-04-28,AC,283,252,10,144,118,18,0,0,1
2020-04-28,AL,754,641,28,737,625,18,6,4,4
2020-04-28,AM,559,1037,338,280,728,18,30,25,19
2020-04-28,AP,152,74,2,113,78,18,1,0,1
2020-04-28,BA,1821,1584,45,2695,2210,18,7,5,6
2020-04-28,CE,2461,2296,481,1716,1753,18,10,22,11
2020-04-28,DF,951,1008,52,528,609,18,5,1,8
2020-04-28,ES,1498,1392,75,805,778,18,3,3,4
2020-04-28,GO,1955,1879,73,1568,1596,18,7,4,8
2020-04-28,MA,692,647,136,698,744,18,12,7,14
2020-04-28,MG,6183,5779,143,5291,4822,18,0,0,0
2020-04-28,MS,983,933,5,675,682,18,2,0,1
2020-04-28,MT,273,267,7,284,199,18,0,0,1
2020-04-28,PA,660,562,41,650,661,18,3,3,3
2020-04-28,PB,1419,1206,32,1277,1092,18,3,0,4
2020-04-28,PE,2461,2438,287,2403,2366,18,14,17,6
2020-04-28,PI,745,484,5,1015,588,18,0,0,1
2020-04-28,PR,3225,3347,132,2293,2174,18,23,8,18
2020-04-28,RJ,6996,8062,1839,4395,5346,18,122,124,101
2020-04-28,RN,1031,842,19,559,517,18,2,0,0
2020-04-28,RO,330,358,18,315,282,18,4,2,2
2020-04-28,RR,108,117,2,57,68,18,0,0,1
2020-04-28,RS,3982,3879,56,3372,3306,18,21,1,18
2020-04-28,SC,2007,1835,48,1640,1412,18,4,1,3
2020-04-28,SE,518,539,6,492,442,18,0,0,0
2020-04-28,SP,21414,20507,2678,14191,15014,18,43,31,38
2020-04-28,TO,183,250,2,167,209,18,1,1,2
2020-04-27,AC,281,252,10,141,117,18,2,2,1
2020-04-27,AL,743,635,24,727,621,18,3,0,3
2020-04-27,AM,549,1007,313,277,709,18,36,29,28
2020-04-27,AP,151,73,2,113,77,18,1,0,1
2020-04-27,BA,1802,1577,40,2676,2204,18,7,3,5
2020-04-27,CE,2435,2286,459,1696,1742,18,7,17,9
2020-04-27,DF,938,1003,51,526,601,18,6,1,7
2020-04-27,ES,1485,1389,72,801,774,18,8,8,4
2020-04-27,GO,1938,1872,69,1555,1588,18,3,1,14
2020-04-27,MA,686,635,129,694,730,18,15,14,19
2020-04-27,MG,6124,5779,143,5237,4822,18,0,0,0
2020-04-27,MS,975,931,5,670,681,18,1,0,3
2020-04-27,MT,270,267,7,281,198,18,0,0,1
2020-04-27,PA,653,559,38,648,658,18,5,2,3
2020-04-27,PB,1403,1203,32,1264,1088,18,4,1,5
2020-04-27,PE,2433,2424,270,2382,2360,18,16,18,16
2020-04-27,PI,736,484,5,1005,587,18,1,0,0
2020-04-27,PR,3199,3324,124,2265,2156,18,11,9,12
2020-04-27,RJ,6915,7940,1715,4352,5245,18,108,115,89
2020-04-27,RN,1019,840,19,553,517,18,0,0,0
2020-04-27,RO,329,354,16,315,280,18,2,3,8
2020-04-27,RR,107,117,2,54,67,18,0,0,0
2020-04-27,RS,3960,3858,55,3346,3288,18,21,2,14
2020-04-27,SC,1987,1831,47,1621,1409,18,5,0,6
2020-04-27,SE,517,539,6,488,442,18,0,0,0
2020-04-27,SP,21194,20464,2647,14048,14976,18,65,44,76
2020-04-27,TO,181,249,1,163,207,18,1,0,0
2020-04-26,AC,280,250,8,140,116,18,1,1,0
2020-04-26,AL,739,632,24,719,618,18,4,2,4
